StockCode,YearMonth,Quantity,Revenue,Month,Year,Quantity_lag1,Quantity_lag2,Quantity_rolling3
15030,2011-03-01,5,1.45,3,2011,3.0,25.0,11.0
15030,2011-06-01,10,2.9,6,2011,5.0,3.0,11.0
15030,2011-07-01,89,25.81,7,2011,10.0,5.0,6.0
15030,2011-08-01,2,0.58,8,2011,89.0,10.0,34.666666666666664
15030,2011-09-01,3,0.8699999999999999,9,2011,2.0,89.0,33.666666666666664
15030,2011-10-01,10,2.9,10,2011,3.0,2.0,31.333333333333332
15030,2011-11-01,22,6.379999999999999,11,2011,10.0,3.0,5.0
15030,2011-12-01,2,0.58,12,2011,22.0,10.0,11.666666666666666
15034,2010-03-01,182,26.820000000000004,3,2010,113.0,323.0,173.66666666666666
15034,2010-04-01,62,10.020000000000001,4,2010,182.0,113.0,206.0
15034,2010-05-01,342,50.56,5,2010,62.0,182.0,119.0
15034,2010-06-01,845,102.17,6,2010,342.0,62.0,195.33333333333334
15034,2010-07-01,604,111.1,7,2010,845.0,342.0,416.3333333333333
15034,2010-08-01,152,26.25,8,2010,604.0,845.0,597.0
15034,2010-09-01,256,36.550000000000004,9,2010,152.0,604.0,533.6666666666666
15034,2010-10-01,88,15.16,10,2010,256.0,152.0,337.3333333333333
15034,2010-11-01,447,64.71000000000001,11,2010,88.0,256.0,165.33333333333334
15034,2010-12-01,45,11.27,12,2010,447.0,88.0,263.6666666666667
15034,2011-01-01,177,31.05,1,2011,45.0,447.0,193.33333333333334
15034,2011-02-01,80,16.72,2,2011,177.0,45.0,223.0
15034,2011-03-01,123,19.29,3,2011,80.0,177.0,100.66666666666667
15034,2011-04-01,541,59.629999999999995,4,2011,123.0,80.0,126.66666666666667
15034,2011-05-01,827,123.37000000000002,5,2011,541.0,123.0,248.0
15034,2011-06-01,1621,126.83000000000003,6,2011,827.0,541.0,497.0
15034,2011-07-01,212,34.51,7,2011,1621.0,827.0,996.3333333333334
15034,2011-08-01,164,91.49999999999999,8,2011,212.0,1621.0,886.6666666666666
15034,2011-09-01,250,39.83,9,2011,164.0,212.0,665.6666666666666
15034,2011-10-01,591,84.81,10,2011,250.0,164.0,208.66666666666666
15034,2011-11-01,573,91.26000000000002,11,2011,591.0,250.0,335.0
15034,2011-12-01,2,1.66,12,2011,573.0,591.0,471.3333333333333
15036,2010-03-01,1323,880.6899999999999,3,2010,451.0,399.0,485.3333333333333
15036,2010-04-01,1907,1314.4,4,2010,1323.0,451.0,724.3333333333334
15036,2010-05-01,2651,1784.56,5,2010,1907.0,1323.0,1227.0
15036,2010-06-01,4249,2911.93,6,2010,2651.0,1907.0,1960.3333333333333
15036,2010-07-01,3736,2737.48,7,2010,4249.0,2651.0,2935.6666666666665
15036,2010-08-01,228,279.12,8,2010,3736.0,4249.0,3545.3333333333335
15036,2010-09-01,26,31.16,9,2010,228.0,3736.0,2737.6666666666665
15036,2010-10-01,3013,2090.24,10,2010,26.0,228.0,1330.0
15036,2010-11-01,1672,1247.72,11,2010,3013.0,26.0,1089.0
15036,2010-12-01,113,100.12,12,2010,1672.0,3013.0,1570.3333333333333
15036,2011-01-01,377,244.12,1,2011,113.0,1672.0,1599.3333333333333
15036,2011-02-01,2260,1586.3600000000001,2,2011,377.0,113.0,720.6666666666666
15036,2011-03-01,3104,2251.52,3,2011,2260.0,377.0,916.6666666666666
15036,2011-04-01,1966,1527.2600000000002,4,2011,3104.0,2260.0,1913.6666666666667
15036,2011-05-01,4684,3708.92,5,2011,1966.0,3104.0,2443.3333333333335
15036,2011-06-01,3346,2706.580000000001,6,2011,4684.0,1966.0,3251.3333333333335
15036,2011-07-01,3390,2611.3,7,2011,3346.0,4684.0,3332.0
15036,2011-08-01,1427,1277.21,8,2011,3390.0,3346.0,3806.6666666666665
15036,2011-09-01,487,433.3299999999999,9,2011,1427.0,3390.0,2721.0
15036,2011-10-01,1255,1010.0499999999998,10,2011,487.0,1427.0,1768.0
15036,2011-11-01,604,533.3199999999999,11,2011,1255.0,487.0,1056.3333333333333
15036,2011-12-01,69,74.06999999999998,12,2011,604.0,1255.0,782.0
15039,2010-03-01,145,145.12,3,2010,552.0,17.0,203.0
15039,2010-04-01,38,42.83,4,2010,145.0,552.0,238.0
15039,2010-05-01,110,113.74999999999999,5,2010,38.0,145.0,245.0
15039,2010-06-01,401,405.24,6,2010,110.0,38.0,97.66666666666667
15039,2010-07-01,636,474.60999999999996,7,2010,401.0,110.0,183.0
15039,2010-08-01,348,335.89,8,2010,636.0,401.0,382.3333333333333
15039,2010-09-01,360,228.43,9,2010,348.0,636.0,461.6666666666667
15039,2010-10-01,277,176.51,10,2010,360.0,348.0,448.0
15039,2010-11-01,86,77.15,11,2010,277.0,360.0,328.3333333333333
15039,2010-12-01,20,19.43,12,2010,86.0,277.0,241.0
15039,2011-01-01,54,74.91,1,2011,20.0,86.0,127.66666666666667
15039,2011-02-01,11,17.929999999999996,2,2011,54.0,20.0,53.333333333333336
15039,2011-03-01,32,45.92,3,2011,11.0,54.0,28.333333333333332
15039,2011-04-01,55,49.09,4,2011,32.0,11.0,32.333333333333336
15039,2011-05-01,605,420.59,5,2011,55.0,32.0,32.666666666666664
15039,2011-06-01,470,370.2,6,2011,605.0,55.0,230.66666666666666
15039,2011-07-01,237,230.30999999999997,7,2011,470.0,605.0,376.6666666666667
15039,2011-08-01,132,180.06,8,2011,237.0,470.0,437.3333333333333
15039,2011-09-01,61,55.75,9,2011,132.0,237.0,279.6666666666667
15039,2011-10-01,134,115.06,10,2011,61.0,132.0,143.33333333333334
15039,2011-11-01,206,302.23999999999995,11,2011,134.0,61.0,109.0
15039,2011-12-01,47,75.04999999999998,12,2011,206.0,134.0,133.66666666666666
15044A,2010-03-01,119,321.45,3,2010,20.0,21.0,20.333333333333332
15044A,2010-04-01,283,760.77,4,2010,119.0,20.0,53.333333333333336
15044A,2010-05-01,95,279.53000000000003,5,2010,283.0,119.0,140.66666666666666
15044A,2010-06-01,3686,9466.26,6,2010,95.0,283.0,165.66666666666666
15044A,2010-07-01,101,292.75,7,2010,3686.0,95.0,1354.6666666666667
15044A,2010-08-01,27,88.53,8,2010,101.0,3686.0,1294.0
15044A,2010-09-01,7,27.369999999999997,9,2010,27.0,101.0,1271.3333333333333
15044A,2010-10-01,108,278.59999999999997,10,2010,7.0,27.0,45.0
15044A,2010-11-01,17,50.150000000000006,11,2010,108.0,7.0,47.333333333333336
15044A,2010-12-01,6,17.700000000000003,12,2010,17.0,108.0,44.0
15044A,2011-01-01,20,59.0,1,2011,6.0,17.0,43.666666666666664
15044A,2011-02-01,13,49.71000000000001,2,2011,20.0,6.0,14.333333333333334
15044A,2011-03-01,89,248.23,3,2011,13.0,20.0,13.0
15044A,2011-04-01,42,132.42000000000002,4,2011,89.0,13.0,40.666666666666664
15044A,2011-05-01,72,226.60000000000002,5,2011,42.0,89.0,48.0
15044A,2011-06-01,63,202.89000000000001,6,2011,72.0,42.0,67.66666666666667
15044A,2011-07-01,53,164.87000000000003,7,2011,63.0,72.0,59.0
15044A,2011-08-01,27,102.37,8,2011,53.0,63.0,62.666666666666664
15044A,2011-09-01,32,102.92000000000002,9,2011,27.0,53.0,47.666666666666664
15044A,2011-10-01,3,8.850000000000001,10,2011,32.0,27.0,37.333333333333336
15044A,2011-11-01,34,105.98000000000002,11,2011,3.0,32.0,20.666666666666668
15044A,2011-12-01,3,14.530000000000001,12,2011,34.0,3.0,23.0
15044B,2010-03-01,27,74.85000000000001,3,2010,20.0,10.0,14.0
15044B,2010-04-01,217,583.11,4,2010,27.0,20.0,19.0
15044B,2010-05-01,107,314.93000000000006,5,2010,217.0,27.0,88.0
15044B,2010-06-01,720,1887.6800000000003,6,2010,107.0,217.0,117.0
15044B,2010-07-01,126,363.54,7,2010,720.0,107.0,348.0
15044B,2010-08-01,81,236.71,8,2010,126.0,720.0,317.6666666666667
15044B,2010-09-01,1,5.91,9,2010,81.0,126.0,309.0
15044B,2010-10-01,18,59.02000000000001,10,2010,1.0,81.0,69.33333333333333
15044B,2010-11-01,10,29.500000000000004,11,2010,18.0,1.0,33.333333333333336
15044B,2010-12-01,3,11.81,12,2010,10.0,18.0,9.666666666666666
15044B,2011-01-01,24,70.80000000000001,1,2011,3.0,10.0,10.333333333333334
15044B,2011-02-01,16,52.88000000000001,2,2011,24.0,3.0,12.333333333333334
15044B,2011-03-01,70,192.18,3,2011,16.0,24.0,14.333333333333334
15044B,2011-04-01,28,93.96000000000001,4,2011,70.0,16.0,36.666666666666664
15044B,2011-05-01,111,315.96999999999997,5,2011,28.0,70.0,38.0
15044B,2011-06-01,37,114.83,6,2011,111.0,28.0,69.66666666666667
15044B,2011-07-01,25,73.75,7,2011,37.0,111.0,58.666666666666664
15044B,2011-09-01,6,17.700000000000003,9,2011,25.0,37.0,57.666666666666664
15044C,2010-03-01,95,255.44999999999996,3,2010,8.0,11.0,8.666666666666666
15044C,2010-04-01,60,177.0,4,2010,95.0,8.0,38.0
15044C,2010-05-01,83,238.21000000000004,5,2010,60.0,95.0,54.333333333333336
15044C,2010-06-01,126,422.74000000000007,6,2010,83.0,60.0,79.33333333333333
15044C,2010-07-01,122,372.46,7,2010,126.0,83.0,89.66666666666667
15044C,2010-08-01,93,283.95,8,2010,122.0,126.0,110.33333333333333
15044C,2010-09-01,22,70.82000000000002,9,2010,93.0,122.0,113.66666666666667
15044C,2010-10-01,8,26.560000000000002,10,2010,22.0,93.0,79.0
15044C,2010-11-01,17,56.07000000000001,11,2010,8.0,22.0,41.0
15044C,2010-12-01,10,38.38,12,2010,17.0,8.0,15.666666666666666
15044C,2011-01-01,7,40.53,1,2011,10.0,17.0,11.666666666666666
15044C,2011-02-01,8,23.6,2,2011,7.0,10.0,11.333333333333334
15044C,2011-03-01,82,233.26,3,2011,8.0,7.0,8.333333333333334
15044C,2011-04-01,16,67.08000000000001,4,2011,82.0,8.0,32.333333333333336
15044C,2011-05-01,34,111.66000000000003,5,2011,16.0,82.0,35.333333333333336
15044C,2011-06-01,44,144.00000000000003,6,2011,34.0,16.0,44.0
15044C,2011-07-01,40,135.04000000000002,7,2011,44.0,34.0,31.333333333333332
15044C,2011-08-01,14,50.620000000000005,8,2011,40.0,44.0,39.333333333333336
15044C,2011-09-01,31,97.13000000000002,9,2011,14.0,40.0,32.666666666666664
15044C,2011-10-01,6,20.540000000000003,10,2011,31.0,14.0,28.333333333333332
15044C,2011-11-01,16,47.20000000000001,11,2011,6.0,31.0,17.0
15044C,2011-12-01,2,5.9,12,2011,16.0,6.0,17.666666666666668
15044D,2010-03-01,110,303.78,3,2010,75.0,31.0,41.666666666666664
15044D,2010-04-01,123,345.80999999999995,4,2010,110.0,75.0,72.0
15044D,2010-05-01,98,279.5,5,2010,123.0,110.0,102.66666666666667
15044D,2010-06-01,170,491.1,6,2010,98.0,123.0,110.33333333333333
15044D,2010-07-01,179,493.96999999999997,7,2010,170.0,98.0,130.33333333333334
15044D,2010-08-01,99,275.01000000000005,8,2010,179.0,170.0,149.0
15044D,2010-09-01,14,44.260000000000005,9,2010,99.0,179.0,149.33333333333334
15044D,2010-10-01,20,64.92000000000002,10,2010,14.0,99.0,97.33333333333333
15044D,2010-11-01,7,26.57,11,2010,20.0,14.0,44.333333333333336
15044D,2010-12-01,1,5.91,12,2010,7.0,20.0,13.666666666666666
15044D,2011-01-01,33,100.19,1,2011,1.0,7.0,9.333333333333334
15044D,2011-02-01,8,29.28,2,2011,33.0,1.0,13.666666666666666
15044D,2011-03-01,133,355.19,3,2011,8.0,33.0,14.0
15044D,2011-04-01,28,85.44000000000001,4,2011,133.0,8.0,58.0
15044D,2011-05-01,67,203.32999999999998,5,2011,28.0,133.0,56.333333333333336
15044D,2011-06-01,35,106.09000000000002,6,2011,67.0,28.0,76.0
15044D,2011-07-01,109,293.55,7,2011,35.0,67.0,43.333333333333336
15044D,2011-08-01,25,90.79000000000002,8,2011,109.0,35.0,70.33333333333333
15044D,2011-09-01,100,266.2,9,2011,25.0,109.0,56.333333333333336
15044D,2011-10-01,78,201.29999999999998,10,2011,100.0,25.0,78.0
15044D,2011-11-01,23,71.09000000000002,11,2011,78.0,100.0,67.66666666666667
15044D,2011-12-01,2,5.9,12,2011,23.0,78.0,67.0
15056BL,2010-03-01,201,1132.26,3,2010,331.0,1110.0,1209.6666666666667
15056BL,2010-04-01,147,828.19,4,2010,201.0,331.0,547.3333333333334
15056BL,2010-05-01,123,675.6200000000001,5,2010,147.0,201.0,226.33333333333334
15056BL,2010-06-01,205,1126.83,6,2010,123.0,147.0,157.0
15056BL,2010-07-01,314,1651.61,7,2010,205.0,123.0,158.33333333333334
15056BL,2010-08-01,506,2724.2400000000002,8,2010,314.0,205.0,214.0
15056BL,2010-09-01,369,2025.4,9,2010,506.0,314.0,341.6666666666667
15056BL,2010-10-01,683,3626.62,10,2010,369.0,506.0,396.3333333333333
15056BL,2010-11-01,400,2343.39,11,2010,683.0,369.0,519.3333333333334
15056BL,2010-12-01,188,1148.7600000000002,12,2010,400.0,683.0,484.0
15056BL,2011-01-01,193,1047.88,1,2011,188.0,400.0,423.6666666666667
15056BL,2011-02-01,115,684.25,2,2011,193.0,188.0,260.3333333333333
15056BL,2011-03-01,122,725.9000000000001,3,2011,115.0,193.0,165.33333333333334
15056BL,2011-04-01,89,536.0600000000001,4,2011,122.0,115.0,143.33333333333334
15056BL,2011-05-01,198,1077.6299999999999,5,2011,89.0,122.0,108.66666666666667
15056BL,2011-06-01,143,807.3800000000001,6,2011,198.0,89.0,136.33333333333334
15056BL,2011-07-01,395,2106.56,7,2011,143.0,198.0,143.33333333333334
15056BL,2011-08-01,220,1222.0600000000002,8,2011,395.0,143.0,245.33333333333334
15056BL,2011-09-01,261,1495.7700000000002,9,2011,220.0,395.0,252.66666666666666
15056BL,2011-10-01,549,2892.5699999999997,10,2011,261.0,220.0,292.0
15056BL,2011-11-01,169,983.5900000000001,11,2011,549.0,261.0,343.3333333333333
15056BL,2011-12-01,72,447.93,12,2011,169.0,549.0,326.3333333333333
15056N,2010-03-01,400,2143.08,3,2010,314.0,774.0,910.3333333333334
15056N,2010-04-01,643,3554.7899999999995,4,2010,400.0,314.0,496.0
15056N,2010-05-01,396,2361.92,5,2010,643.0,400.0,452.3333333333333
15056N,2010-06-01,651,3552.4499999999994,6,2010,396.0,643.0,479.6666666666667
15056N,2010-07-01,510,2755.77,7,2010,651.0,396.0,563.3333333333334
15056N,2010-08-01,586,3271.48,8,2010,510.0,651.0,519.0
15056N,2010-09-01,401,2240.1399999999994,9,2010,586.0,510.0,582.3333333333334
15056N,2010-10-01,498,2716.0599999999995,10,2010,401.0,586.0,499.0
15056N,2010-11-01,422,2332.5199999999995,11,2010,498.0,401.0,495.0
15056N,2010-12-01,135,782.6700000000001,12,2010,422.0,498.0,440.3333333333333
15056N,2011-01-01,138,828.09,1,2011,135.0,422.0,351.6666666666667
15056N,2011-02-01,273,1483.41,2,2011,138.0,135.0,231.66666666666666
15056N,2011-03-01,479,2578.13,3,2011,273.0,138.0,182.0
15056N,2011-04-01,180,1063.0800000000002,4,2011,479.0,273.0,296.6666666666667
15056N,2011-05-01,346,1937.2900000000002,5,2011,180.0,479.0,310.6666666666667
